starttime,Broadway_35th_St,Cross_Bronx_Expy,Hunts_Point,Manhattan_Bridge,Queens_College,Queensboro_Bridge,Williamsburg_Bridge
6/18 3PM,9.57,7.14,7.18,9.3,7.32,7.71,8.84
6/18 4PM,8.94,8.17,5.99,8.87,7.5,6.09,7.62
6/18 5PM,9.45,10.34,6.33,9.05,7.78,6.84,8.57
6/18 6PM,9.12,15.8,7.49,8.82,7.85,7.1,8.55
6/18 7PM,10.42,11.87,7.31,9.42,21.05,7.39,9.4
6/18 8PM,9.97,9.73,8.62,8.88,26.26,8.09,9.57
6/18 9PM,13.98,19.62,9.51,9.72,26.85,7.7,11.12
6/18 10PM,10.93,10.69,9.68,8.43,30.84,7.82,10.39
6/18 11PM,10.8,10.81,10.76,9.05,32.82,7.9,10.12
6/19 12AM,10.2,10.9,9.85,9.22,22.93,9.77,9.48
6/19 1AM,10.65,10.61,9.99,10.07,20.14,9.72,11.43
6/19 2AM,8.63,9.18,8.63,8.62,12.58,9.31,9.89
6/19 3AM,7.19,8.3,8.1,7.15,7.21,10.97,8.94
6/19 4AM,7.66,8.65,8.76,7.81,7.59,13.99,7.9
6/19 5AM,7.77,8.32,9.02,8.78,7.59,18.02,8.22
6/19 6AM,8.19,8.08,10.15,8.52,7.53,17.51,10
6/19 7AM,9.75,8,12.12,7.99,7.36,14.35,9.42
6/19 8AM,10.75,9.19,13.14,9.04,7.59,14.96,10.38
6/19 9AM,11.72,9.21,10.84,10.05,8.43,17.43,10.25
6/19 10AM,12.05,9.73,10.82,10.97,9.19,14.89,9.53
6/19 11AM,13.24,8.92,11.07,12.72,10.58,16.06,10.45
6/19 12PM,14.84,9.08,10.25,13.38,9.47,11.65,8.98
6/19 1PM,14.73,9.04,11.36,15.86,9.32,11.43,9.77
6/19 2PM,15.71,9.9,13.07,15.6,10.57,12.79,10.28
6/19 3PM,16.83,10.4,14.16,13.68,12.39,15.34,9.08
6/19 4PM,16.33,12.55,15.86,12.74,10.76,3.8,10.59
6/19 5PM,18.59,14.13,21.3,13.02,9.94,4.36,10.57
6/19 6PM,18.71,13.02,,12.73,9.34,3.23,10.58
6/19 7PM,17.75,13.49,,13.22,9.14,3.5,12.82
6/19 8PM,19.33,14,13.6,16.47,12.41,15.33,15.4
6/19 9PM,20.46,14.3,13.73,16.84,13.93,13.81,16.94
6/19 10PM,22.04,16.61,14,18.73,15.58,14.34,19.48
6/19 11PM,21.29,19.1,16.36,22.8,15.44,17.46,22.77
6/20 12AM,20.08,19.1,18.53,24.62,15.76,16.3,23.8
6/20 1AM,18.84,17.48,16.54,18.46,14.6,15.02,19.16
6/20 2AM,17.39,13.66,14.17,18.91,13.44,14.72,19.43
6/20 3AM,16.12,11.75,12.26,19.5,12,11.23,19.77
6/20 4AM,15.17,12.64,13.18,14.66,12.98,16.19,14.86
6/20 5AM,14.68,12.68,13,15.29,12.2,17.6,15.66
6/20 6AM,14.73,13.83,14.36,15.45,11.06,15.02,15.5
6/20 7AM,15.12,15.87,17.97,16.25,12.25,13.96,16.15
6/20 8AM,17.08,14.73,24.63,16.43,11.88,16.54,17.1
6/20 9AM,17.1,15.01,15.85,17.44,12.65,16.62,16.92
6/20 10AM,18.67,12.06,13.72,16.87,14.19,19.63,16.22
6/20 11AM,19.34,13.03,11.79,16.88,10.04,19.19,16.15
6/20 12PM,18.26,14.59,9.38,16.34,7.3,4.48,16.59
6/20 1PM,15.33,11.94,9.65,14.48,7.05,3.74,14.48
6/20 2PM,13.9,9.83,11.2,14.15,8.02,3.29,12.61
6/20 3PM,12.19,9.06,8.41,10.28,8.81,3.3,9.97
6/20 4PM,10.1,7.75,8.39,7.74,4.62,4.01,4.98
6/20 5PM,9.93,6.57,6.03,6.36,3.3,4.25,3.68
6/20 6PM,10.04,5.91,5.72,6.15,3.21,3.52,3.64
6/20 7PM,9.51,5.83,7.63,5.72,3.21,3.71,4.47
6/20 8PM,8.62,6.24,5.42,6.5,3.8,3.45,8.04
6/20 9PM,7.75,5.38,5.26,5.62,3.79,3.22,7.76
6/20 10PM,5.83,5.81,3.93,5.05,5.18,3.21,7.33
6/20 11PM,5.18,5.56,3.91,5.52,4.5,3.23,6
6/21 12AM,5.16,5.49,4.3,4.44,5.37,5.12,4.86
6/21 1AM,5.05,5.74,4.91,4.56,4.39,5.7,5.81
6/21 2AM,4.6,6.16,5.27,4.5,4.42,5.52,5.09
6/21 3AM,4.61,5.81,5.09,4.81,4.44,5.92,6.18
6/21 4AM,4.37,5.53,5.03,5.59,4.48,6.39,5.3
6/21 5AM,4.58,5.73,6.39,6.16,4.45,6.53,5.73
6/21 6AM,4.73,5.96,8.94,5.37,4.46,7.24,5.82
6/21 7AM,5.77,6.22,9.14,6.19,4.74,9.15,6.64
6/21 8AM,8.33,6.53,8.77,6.19,5.03,7.7,7.24
6/21 9AM,8.11,6.72,11.23,6.6,5.31,7.89,6.74
6/21 10AM,9.45,6.42,11.77,6.91,5.66,8.62,6.91
6/21 11AM,9.66,6.96,12,6.96,6,10.12,6.56
6/21 12PM,9.39,6.92,9.04,8.02,5.79,3.47,6.31
6/21 1PM,10.45,6.77,9.21,8,5.79,3.21,7.09
6/21 2PM,9.67,6.71,9.33,8.61,5.84,3.21,6.94
6/21 3PM,8.5,6.21,8.31,7.79,5.96,3.21,7.4
6/21 4PM,9.02,6.43,8.12,6.94,5.63,4.38,8.05
6/21 5PM,8.62,6.35,7.1,7.04,5.09,3.77,8.48
6/21 6PM,8.71,6.5,7.16,7.29,5.07,3.56,8.01
6/21 7PM,8.7,7.57,7.3,8.03,4.75,3.29,8.71
6/21 8PM,8.65,7.35,5.55,8.88,5.6,7.51,8.68
6/21 9PM,7.07,7.55,5.89,7.56,4.75,6.33,8.06
6/21 10PM,4.86,6.27,4.85,5.9,4.43,4.37,6.29
6/21 11PM,4.47,5.53,4.39,5.97,4.81,4.12,6.75
6/22 12AM,5.44,6.05,5.23,7.72,5.09,5.85,8.68
6/22 1AM,4.91,6.18,6.4,6.65,4.94,5.36,7.7
6/22 2AM,5.08,6,7.6,5.56,4.78,5.43,6.72
6/22 3AM,5.47,5.91,5.86,4.94,4.62,5.82,6
6/22 4AM,4.8,6,5.2,4.25,4.37,4.37,5.07
6/22 5AM,5.11,6.48,6.16,4.71,4.44,4.71,5.52
6/22 6AM,5.74,7.63,9.46,5.38,4.78,5.2,6.05
6/22 7AM,6.77,6.94,6.5,5.34,5.02,5.51,6.34
6/22 8AM,9.34,7.26,8.09,6.48,5.61,7.31,7.83
6/22 9AM,8.05,7.23,9.23,6.11,5.22,6.42,7
6/22 10AM,10.37,7.63,9.29,6.81,5.75,6.87,7.04
6/22 11AM,12.6,8.73,8.58,8.6,6.34,8.55,6.67
6/22 12PM,11.98,8.01,8.26,6.93,6.32,8.79,7.75
6/22 1PM,13.19,7.6,9.53,6.85,6.78,9.6,7.71
6/22 2PM,14.22,7.38,10.49,6.03,7.13,9.74,7.58
6/22 3PM,10.04,6.77,9.06,6.26,6.93,8.54,7.21
6/22 4PM,11.26,7.32,8.41,7.6,5.76,4.79,8.13
6/22 5PM,11.8,7.29,7.48,8.73,5.95,5.67,8.25
6/22 6PM,12.24,7.17,7.63,7.88,6.54,7.86,7.88
6/22 7PM,14.25,7.73,6.89,8.91,6.85,7.29,9.21
6/22 8PM,11.75,8.14,,9.74,6.45,6.93,9.81
6/22 9PM,11.26,7.12,,10.29,6.82,5.64,11.1
6/22 10PM,9.41,7.21,,8.49,5.94,4.49,9.33
6/22 11PM,6.73,9.27,,9.21,5.88,4.08,8.54
6/23 12AM,7.79,6.44,,9.21,6.8,7.36,8.92
6/23 1AM,9.72,6.97,,9.01,7.29,10.79,9.66
6/23 2AM,11.85,7.51,,8.38,5.88,11.95,8.95
6/23 3AM,10.37,10.39,,7.55,5.59,11.74,7.29
6/23 4AM,9.36,12.57,,7.04,6.44,10.02,8.21
6/23 5AM,8.48,10.92,,8.74,7.44,9.21,8.64
6/23 6AM,8.34,11.68,,9.37,7.39,9.61,9.49
6/23 7AM,10.68,12.25,15.54,8.97,7.54,10.13,10.55
6/23 8AM,12.4,12.47,18.18,11.52,7.48,10.37,11.8
6/23 9AM,12.66,13.96,12.24,10.29,6.56,11.29,10.71
6/23 10AM,10.69,11.93,8.86,10.51,5.94,9.53,9.47
6/23 11AM,10.94,11.33,9.8,8.76,5.9,9.39,9.38
6/23 12PM,17.05,11.76,11.86,3.83,5.89,12.91,10.15
6/23 1PM,15.38,12.78,16,4.61,6.79,12.21,12.55
6/23 2PM,16.66,13.12,16.46,6.31,6.83,13.76,11.94
6/23 3PM,17.7,13.31,13.61,5.24,7.3,15.84,11.38
6/23 4PM,18.1,11.07,11.34,3.21,9.02,11.91,15.74
6/23 5PM,19.62,14.96,14.81,3.21,8.96,15.3,12.15
6/23 6PM,19.89,15.05,13.04,3.21,9.61,11.99,12.25
6/23 7PM,17.44,13.08,12.35,3.21,9.85,13.92,14.21
6/23 8PM,17.02,13.65,12.35,15.49,9.3,15.01,14.35
6/23 9PM,18.24,14.34,11.56,13.09,8.82,16.04,14.72
6/23 10PM,14.91,13.04,11.14,11.44,8.84,14.3,12.02
6/23 11PM,15.06,12.31,11.1,11.07,8.2,12.03,11.45
6/24 12AM,12.09,11.83,10.24,10.24,7.29,12.66,10.28
6/24 1AM,10.74,11.09,9.03,10.62,7.13,10.2,9.56
6/24 2AM,13.49,11.65,9.94,13.49,9.33,11.52,12.92
6/24 3AM,14.13,12.34,10.61,17.06,9.59,14.57,17.2
6/24 4AM,15.96,16.94,14.25,14.17,10.07,15.81,20.86
6/24 5AM,13.29,16.98,12.7,12.47,10.33,15.98,17.84
6/24 6AM,11.95,17.59,27.95,10.07,9.54,13.66,15.34
6/24 7AM,10.67,15.74,62.1,8.38,11.84,10.97,12.28
6/24 8AM,11.22,12.99,10.73,12.7,11.89,11.03,12.86
6/24 9AM,11.88,13.84,11.3,11.9,10.48,12.23,11.08
6/24 10AM,11.42,16.65,13.22,13.42,11.85,11.78,11.34
6/24 11AM,19.72,14.43,15.96,16.62,11.51,14.58,12.55
6/24 12PM,15.76,15.23,17.15,15.96,9.06,14.03,11.75
6/24 1PM,15.29,14.81,11.96,16.69,9.62,13.75,12.29
6/24 2PM,18.02,13.54,14.14,17.7,10.09,15,12.63
6/24 3PM,17.64,13.84,12.43,13.66,9.5,14.6,12.55
6/24 4PM,15.34,13.6,14.19,13.83,8.58,13.01,12.61
6/24 5PM,13.4,11.82,11.04,11.21,8.01,12.3,11.57
6/24 6PM,14.76,11.58,13.38,12.12,9.06,12.78,11.8
6/24 7PM,18.01,13.32,13.33,15.52,10.28,14.7,12.79
6/24 8PM,20.68,14.89,14.75,17.09,12.53,13.8,15.14
6/24 9PM,26.51,19.03,23.71,21.49,14.73,22.07,17.76
6/24 10PM,30.54,22.68,21.68,20.22,17.77,19.13,20.22
6/24 11PM,24.76,24.48,22.32,19.38,18.89,23.05,18.8
6/25 12AM,16.03,27.01,29.4,18.28,23.34,24.25,18.91
6/25 1AM,16.95,28.02,24.47,17.39,27.95,24.79,15.47
6/25 2AM,16.46,28.29,30.03,18.64,23.1,21.83,17.59
6/25 3AM,12.42,17.26,28.15,15.45,21.14,16.88,18.71
6/25 4AM,10.26,26.86,25.92,17.69,21.23,14.37,15.53
6/25 5AM,12.67,29.21,25.07,17.66,20.37,22.69,15.08
6/25 6AM,12.85,32.01,28.61,18.35,24.73,23.79,16.48
6/25 7AM,12.66,34.06,33.83,13.17,26.89,21.39,15.01
6/25 8AM,20.21,33.03,25.76,19.42,25.26,29.17,25.76
6/25 9AM,27.82,28.02,22.55,27.52,22.2,28.92,26.38
6/25 10AM,22.86,20.32,23.2,18.51,16.57,19.09,19.24
6/25 11AM,21.03,15.29,13.74,20.18,16.39,16.27,17.5
6/25 12PM,21.02,12.99,17.11,17.93,15.64,11.01,18.6
6/25 1PM,22.88,16.27,17.6,19.2,14.53,12.21,18.87
6/25 2PM,24.25,19.46,17.16,20.54,15.89,12.86,18.57
6/25 3PM,19.73,18.08,15.46,16.82,15.38,9.47,16
6/25 4PM,19.47,15.1,17.17,17.06,13.81,16.3,14.72
6/25 5PM,21.11,15.59,14.88,15.98,14.4,16.03,15.7
6/25 6PM,21.82,14.83,14.07,17.75,14.62,17.57,16.87
6/25 7PM,21.93,16.68,15.2,38.6,14.19,20.42,18.01
6/25 8PM,22.91,17.22,16.68,31.09,13.54,18.35,17.58
6/25 9PM,22.67,18.25,16.82,19.66,13.98,17.89,19.46
6/25 10PM,22.8,20.73,18.57,22.28,15.79,20,22.11
6/25 11PM,26.19,23.73,21.26,23.67,17.95,23.01,23.7
6/26 12AM,24.23,25.49,21.55,24.3,17.72,24.2,25.31
6/26 1AM,27.34,26.01,22.05,24.7,19.13,24.15,24.88
6/26 2AM,25.91,29.37,28.77,22.08,18.43,22.31,20.35
6/26 3AM,19.46,30.63,26.2,21.5,16.55,21.27,20.66
6/26 4AM,18.44,32.71,28.25,21.98,17.95,22.82,22.16
6/26 5AM,21.92,30.14,27.49,21.85,19.39,23.71,22.31
6/26 6AM,20.66,27.62,28.29,24.32,19.8,24.47,23.77
6/26 7AM,25.66,24.64,27.62,27.58,18.19,27.83,27.69
6/26 8AM,26.44,23.96,28.39,22.57,16.69,26.07,21.87
6/26 9AM,20.88,23.6,25.68,18.4,14.16,22.05,
6/26 10AM,16.78,20.96,24.36,15.99,13.05,15.42,
6/26 11AM,21.81,24.54,26.92,20.03,13.53,19.35,
6/26 12PM,21.45,18.3,21.86,19.64,13.15,19.87,
6/26 1PM,21.66,17.24,24.27,19.91,14.21,19.16,